DateTime	unixsysstat__zeushost-sys__UsedTime
06/11/2009 16:15:07.241	27
06/11/2009 16:15:12.251	28
06/11/2009 16:15:17.247	24
06/11/2009 16:15:22.246	30
06/11/2009 16:15:27.257	31
06/11/2009 16:15:32.261	20
06/11/2009 16:15:37.608	27
06/11/2009 16:15:42.269	34
06/11/2009 16:15:47.439	22
06/11/2009 16:15:52.526	19
06/11/2009 16:15:57.288	38
06/11/2009 16:16:02.422	20
06/11/2009 16:16:07.274	50
06/11/2009 16:16:12.317	52
06/11/2009 16:16:17.303	30
06/11/2009 16:16:22.280	18
06/11/2009 16:16:32.276	30
06/11/2009 16:16:37.292	21
06/11/2009 16:16:42.291	26
06/11/2009 16:16:47.294	18
06/11/2009 16:16:52.284	25
06/11/2009 16:16:57.348	21
06/11/2009 16:17:02.306	24
06/11/2009 16:17:07.408	20
06/11/2009 16:17:12.307	19
06/11/2009 16:17:17.295	21
06/11/2009 16:17:23.393	37
06/11/2009 16:17:27.335	19
06/11/2009 16:17:32.301	28
06/11/2009 16:17:37.880	33
06/11/2009 16:17:42.325	39
06/11/2009 16:17:47.327	34
06/11/2009 16:17:52.324	20
06/11/2009 16:17:57.320	25
06/11/2009 16:18:02.325	17
06/11/2009 16:18:07.376	19
06/11/2009 16:18:12.317	21
06/11/2009 16:18:22.326	33
06/11/2009 16:18:27.332	21
06/11/2009 16:18:32.324	29
06/11/2009 16:18:37.320	24
06/11/2009 16:18:42.342	18
06/11/2009 16:18:47.326	39
06/11/2009 16:18:52.321	31
06/11/2009 16:18:57.347	13
06/11/2009 16:19:02.333	29
06/11/2009 16:19:07.621	18
06/11/2009 16:19:13.229	40
06/11/2009 16:19:17.355	34
06/11/2009 16:19:22.377	26
06/11/2009 16:19:27.615	39
06/11/2009 16:19:32.361	16
06/11/2009 16:19:37.391	27
06/11/2009 16:19:42.737	30
06/11/2009 16:19:47.359	41
06/11/2009 16:19:52.365	32
06/11/2009 16:19:57.376	31
06/11/2009 16:20:02.368	25
06/11/2009 16:20:07.375	22
06/11/2009 16:20:12.359	19
06/11/2009 16:20:22.364	18
06/11/2009 16:20:32.370	19
06/11/2009 16:20:37.383	24
06/11/2009 16:20:42.366	17
06/11/2009 16:20:47.515	29
06/11/2009 16:20:52.399	23
06/11/2009 16:20:59.778	26
06/11/2009 16:21:03.986	36
06/11/2009 16:21:08.162	29
06/11/2009 16:21:12.832	37
06/11/2009 16:21:22.754	25
06/11/2009 16:21:27.666	41
06/11/2009 16:21:32.433	21
06/11/2009 16:21:37.452	24
06/11/2009 16:21:43.209	23
06/11/2009 16:21:47.434	18
06/11/2009 16:21:57.452	21
