DateTime	java.lang:type=OperatingSystem__ProcessCpuTime
2012-07-26 16:54:06.107	5837200000000
2012-07-26 16:54:36.182	5863070000000
2012-07-26 16:55:06.283	5887860000000
2012-07-26 16:55:36.382	5913910000000
2012-07-26 16:56:06.482	5940090000000
2012-07-26 16:56:36.581	5964600000000
2012-07-26 16:57:06.681	5989930000000
2012-07-26 16:57:36.782	6015990000000
2012-07-26 16:58:06.882	6041560000000
2012-07-26 16:58:36.982	6071130000000
2012-07-26 16:59:07.082	6098820000000
2012-07-26 16:59:37.182	6124960000000
2012-07-26 17:00:07.282	6152190000000
2012-07-26 17:00:37.382	6178960000000
2012-07-26 17:01:07.482	6204320000000
2012-07-26 17:01:37.582	6230830000000
2012-07-26 17:02:07.682	6256230000000
2012-07-26 17:02:37.782	6281030000000
2012-07-26 17:03:07.882	6306630000000
2012-07-26 17:03:37.982	6332430000000
2012-07-26 17:04:08.082	6358100000000
2012-07-26 17:04:38.181	6382870000000
2012-07-26 17:05:08.281	6409460000000
2012-07-26 17:05:38.382	6435330000000
2012-07-26 17:06:08.482	6462020000000
2012-07-26 17:06:38.582	6488110000000
2012-07-26 17:07:08.683	6513280000000
2012-07-26 17:07:38.782	6537420000000
2012-07-26 17:08:08.882	6563650000000
2012-07-26 17:08:38.982	6589800000000
2012-07-26 17:09:09.081	6616800000000
2012-07-26 17:09:39.182	6641670000000
2012-07-26 17:10:09.282	6667480000000
2012-07-26 17:10:39.382	6694930000000
2012-07-26 17:11:09.482	6719890000000
2012-07-26 17:11:39.582	6746190000000
2012-07-26 17:12:09.682	6773130000000
2012-07-26 17:12:39.782	6798650000000
2012-07-26 17:13:09.882	6823730000000
2012-07-26 17:13:39.982	6850350000000
2012-07-26 17:14:10.082	6875260000000
2012-07-26 17:14:40.182	6901640000000
2012-07-26 17:15:10.282	6926960000000
2012-07-26 17:15:40.382	6953670000000
2012-07-26 17:16:10.604	6979530000000
2012-07-26 17:16:40.682	7005730000000
2012-07-26 17:17:10.781	7031260000000
2012-07-26 17:17:40.882	7057000000000
2012-07-26 17:18:10.982	7081950000000
2012-07-26 17:18:41.082	7107660000000
2012-07-26 17:19:11.182	7133340000000
2012-07-26 17:19:41.283	7159230000000
2012-07-26 17:20:11.692	7185970000000
2012-07-26 17:20:41.782	7210180000000
2012-07-26 17:21:11.882	7237010000000
2012-07-26 17:21:41.981	7262010000000
2012-07-26 17:22:12.081	7288670000000
2012-07-26 17:22:42.182	7313550000000
2012-07-26 17:23:12.282	7342010000000
2012-07-26 17:23:42.382	7369640000000
2012-07-26 17:24:12.482	7394960000000
2012-07-26 17:24:42.582	7421910000000
2012-07-26 17:25:12.683	7446640000000
2012-07-26 17:25:42.781	7466770000000
2012-07-26 17:26:12.882	7484080000000
2012-07-26 17:26:42.983	7496990000000
2012-07-26 17:27:13.082	7505580000000
2012-07-26 17:27:43.182	7510270000000
2012-07-26 17:28:13.282	7512490000000
2012-07-26 17:28:43.382	7512920000000
2012-07-26 17:29:13.482	7513070000000
2012-07-26 17:29:43.582	7513190000000
2012-07-26 17:30:13.682	7513330000000
2012-07-26 17:30:43.781	7513560000000
2012-07-26 17:31:13.882	7513710000000
2012-07-26 17:31:43.982	7513820000000
2012-07-26 17:32:14.082	7513960000000
2012-07-26 17:32:44.182	7514090000000
2012-07-26 17:33:14.283	7514310000000
2012-07-26 17:33:44.382	7514440000000
2012-07-26 17:34:14.481	7514580000000
2012-07-26 17:34:44.581	7514710000000
2012-07-26 17:35:14.682	7514820000000
2012-07-26 17:35:44.782	7515020000000
2012-07-26 17:36:14.882	7515150000000
2012-07-26 17:36:44.983	7515280000000
2012-07-26 17:37:15.082	7515410000000
2012-07-26 17:37:45.182	7515560000000
