date,open,close,high,low,volume
1990-03-21,41.2500,9.7600,42.2500,41.2500,5463200
1990-03-20,42.2500,9.7000,43.0000,40.7500,13984400
1990-03-19,40.5000,9.9300,42.5000,40.0000,15433200
1990-03-16,40.0000,9.4300,40.7500,39.1300,23042400
1990-03-15,36.5000,8.6100,38.0000,36.5000,4302000
1990-03-14,36.7500,8.6700,37.2500,36.5000,3654800
1990-03-13,36.5000,8.6400,37.2500,36.2500,5321200
1990-03-12,37.2500,8.5800,37.5000,36.2500,5864400
1990-03-09,36.7500,8.6400,37.5000,36.2500,8248800
1990-03-08,35.7500,8.6100,37.0000,35.0000,8013600
1990-03-07,35.0000,8.2900,36.0000,35.0000,7301200
1990-03-06,35.0000,8.2600,35.2500,34.5000,5578800
1990-03-05,33.5000,8.0800,34.7500,33.5000,6537600
1990-03-02,33.5000,7.9100,34.7500,33.2500,3761200
1990-03-01,33.5000,8.0300,34.7500,33.2500,7283200
1990-02-28,33.5000,7.9700,34.0000,33.2500,3918800
1990-02-27,34.0000,7.8500,34.2500,33.5000,2642000
1990-02-26,33.0000,7.9700,34.2500,33.0000,2844800
1990-02-23,32.7500,7.7900,33.5000,32.7500,5375600
1990-02-22,34.0000,7.7300,34.5000,33.0000,6976800
1990-02-21,32.7500,7.9700,34.2500,32.5000,6283600
1990-02-20,33.5000,7.8500,33.7500,33.0000,4402400
1990-02-16,34.2500,7.9100,34.5000,33.7500,4556400
1990-02-15,33.7500,8.0000,34.2500,33.5000,3509200
1990-02-14,34.5000,8.0000,34.7500,33.7500,3448000
1990-02-13,34.0000,8.0600,35.0000,33.7500,3653600
1990-02-12,34.2500,7.9400,34.5000,33.7500,2695600
1990-02-09,33.5000,8.0000,34.5000,33.2500,6004400
1990-02-08,33.2500,7.7100,33.5000,32.2500,6680000
1990-02-07,33.0000,7.7700,34.0000,32.5000,11180800
1990-02-06,34.7500,8.1200,35.0000,34.0000,2640000
1990-02-05,34.2500,8.1800,35.2500,34.0000,3653200
1990-02-02,33.2500,8.0000,34.7500,33.2500,4248800
1990-02-01,34.5000,7.8600,34.6300,33.5000,4193200
1990-01-31,34.5000,7.9400,34.7500,33.0000,5152400
1990-01-30,33.2500,7.9400,34.5000,33.0000,4180800
1990-01-29,33.0000,7.7700,33.5000,32.1300,4284800
1990-01-26,34.0000,7.6500,34.0000,32.2500,6492000
1990-01-25,34.2500,7.9700,34.7500,34.0000,3996800
1990-01-24,32.5000,7.9400,34.2500,32.2500,6077600
1990-01-23,33.7500,7.8800,34.2500,33.0000,5048800
1990-01-22,34.0000,7.7700,34.5000,33.2500,5200800
1990-01-19,33.7500,8.0000,34.5000,33.5000,9485600
1990-01-18,33.0000,7.5600,33.5000,32.2500,9760800
1990-01-17,34.7500,7.7700,34.7500,33.0000,7050000
1990-01-16,33.5000,8.1500,35.0000,32.7500,7658000
1990-01-15,34.5000,8.0000,35.7500,34.2500,5785600
1990-01-12,34.2500,8.0600,34.7500,33.7500,6150000
1990-01-11,36.2500,8.0600,36.2500,34.5000,7547600
1990-01-10,37.6300,8.4100,37.6300,35.7500,7140000
1990-01-09,38.0000,8.7900,38.0000,37.0000,3096800
1990-01-08,37.5000,8.8800,38.0000,37.0000,3643200
1990-01-05,37.7500,8.8200,38.2500,37.0000,4406400
1990-01-04,38.2500,8.7900,38.7500,37.2500,7928800
1990-01-03,38.0000,8.7600,38.0000,37.5000,7444400
1990-01-02,35.2500,8.7000,37.5000,35.0000,6555600
1989-12-29,34.7500,8.2300,35.7500,34.3800,5445200
1989-12-28,35.0000,8.0900,35.2500,34.2500,5403200
1989-12-27,35.5000,8.2100,35.7500,35.0000,9189200
1989-12-26,36.7500,8.2900,36.7500,35.2500,4849200
1989-12-22,36.2500,8.5300,37.2500,36.0000,6610800
1989-12-21,35.7500,8.4700,36.2500,35.5000,10889200
1989-12-20,35.7500,8.3500,36.2500,35.2500,6377600
1989-12-19,34.5000,8.1800,35.5000,34.5000,8977600
1989-12-18,33.7500,8.1200,35.0000,33.7500,10978000
