datetime	www status 204 hit count	www status 304 hit count	www status 206 hit count	www status 200 hit count	www status 500 hit count	www status 403 hit count	www status 301 hit count	www status 302 hit count	www status 404 hit count
2009/10/16 02:00:00	40	126	4	475					7
2009/10/17 02:00:00	23	7	1	465					5
2009/10/18 02:00:00	49	34	4	1019					15
2009/10/19 02:00:00	61	252		668					6
2009/10/20 02:00:00	44	21	6	903					20
2009/10/21 02:00:00	13	7		324					8
2009/10/22 02:00:00	23	77	5	270					9
2009/10/23 02:00:00	50	45	3	725					10
2009/10/24 02:00:00	58	117	5	724					15
2009/10/25 02:00:00	17	83		307					13
2009/10/26 01:00:00	54	151		911					19
2009/10/27 01:00:00	26	29	3	430					11
2009/10/28 01:00:00	18	59		415				1	6
2009/10/29 01:00:00	42	20	5	678					6
2009/10/30 01:00:00	83	13		802					13
2009/10/31 01:00:00	69	145	2	652				4	15
2009/11/01 01:00:00	19	122	3	265					22
2009/11/02 01:00:00	82	50		6845					15
2009/11/03 01:00:00	259	332	2	1796				65	18
2009/11/04 01:00:00	148	501	2	1380				2	26
2009/11/05 01:00:00	123	205	3	766					19
2009/11/06 01:00:00	119	162	4	1053				26	27
2009/11/07 01:00:00	118	136	7	1293			1	29	25
2009/11/08 01:00:00	59	122		886				1	7
2009/11/09 01:00:00	56	81		844				6	24
2009/11/10 01:00:00	55	80	1	769				2	20
2009/11/11 01:00:00	10	91		219					20
2009/11/12 01:00:00	85	174	2	863					21
2009/11/13 01:00:00	40	95	1	799					26
2009/11/14 01:00:00	12	39	3	434					6
2009/11/15 01:00:00	108	86	6	1359		1		7	17
2009/11/16 01:00:00	115	200	16	1337					18
2009/11/17 01:00:00	24	71		459					11
2009/11/18 01:00:00	77	197	2	866					17
2009/11/19 01:00:00	36	108	1	800					17
2009/11/20 01:00:00	84	197	3	1018					11
2009/11/21 01:00:00	13	57	5	343					18
2009/11/22 01:00:00	25	25	6	470					30
2009/11/23 01:00:00	41	7		939					21
2009/11/24 01:00:00	37	80	7	719					16
2009/11/25 01:00:00	29	90		666					22
2009/11/26 01:00:00	51	46		972				1	16
2009/11/27 01:00:00	21	17		530	1			3	7
2009/11/28 01:00:00	73	52	4	591					10
2009/11/29 01:00:00	96	29	1	864					15
2009/11/30 01:00:00	154	117	5	1610				11	15
2009/12/01 01:00:00	222	148	35	1301					29
2009/12/02 01:00:00	123	194	7	2154				3	26
2009/12/03 01:00:00	59	85	2	707				12	18
2009/12/04 01:00:00	12	41	1	343					13
2009/12/05 01:00:00	10	70	1	403					10
2009/12/06 01:00:00	10	22		445					11
2009/12/07 01:00:00	74	80	2	968					14
2009/12/08 01:00:00	55	76	1	887					22
2009/12/09 01:00:00	46	54		820					14
2009/12/10 01:00:00	48	60	5	865					19
2009/12/11 01:00:00	73	85	2	777					32
2009/12/12 01:00:00	44	34	1	847					21
2009/12/13 01:00:00	107	120	3	873					16
2009/12/14 01:00:00	85	104	6	1286					13
2009/12/15 01:00:00	31	58	4	555	1				12
2009/12/16 01:00:00	48	24	1	988					24
2009/12/17 01:00:00	52	108	1	770					13
2009/12/18 01:00:00	33	26	1	597					24
2009/12/19 01:00:00	14	23		260					20
